TOP GAUGE

CLIENT				: Company A.
SERVICE COMPANY			: Best Service Company.
SURVEY DATE			: 2ND - 4TH JANUARY, 2022.
WELL NAME			: Well A
JOB TYPE			: FLOWING GRADIENT / 9-HOUR PRESSURE BUILD UP/ STATIC GRADIENT SURVEY
GAUGE TYPE/SERIAL NO		: ##
GAUGE DEPTH			: 8977FT WLM
GAUGE STOP TIME/DATE		: 03:06:33 /4TH-JANUARY-2022.

SPECIALIST			: Bob Joe


REAL DATE  REAL TIME	   ELAPSED TIME	  PRESSURE	TEMPERATURE
mm-dd-yy   hh:mm:ss	     (Hours)	   (psiA)	  (deg F)

01/02/22  20:10:16          .52722         14.819         84.445
01/02/22  20:10:21          .52861         14.821         84.447
01/02/22  20:10:26          .53000         14.822         84.448
01/02/22  20:10:31          .53139         14.824         84.451
01/02/22  20:10:36          .53278         14.826         84.452
01/02/22  20:10:41          .53417         14.829         84.453
01/02/22  20:10:46          .53556         14.831         84.455
01/02/22  20:10:51          .53694         14.834         84.457
01/02/22  20:10:56          .53833         14.836         84.459
01/02/22  20:11:01          .53972         14.837         84.461
01/02/22  20:11:06          .54111         14.839         84.461
01/02/22  20:11:11          .54250         14.840         84.464
01/02/22  20:11:16          .54389         14.842         84.465
01/02/22  20:11:21          .54528         14.845         84.466
01/02/22  20:11:26          .54667         14.854         84.469
01/02/22  20:11:31          .54806         15.140         84.475
01/02/22  20:11:36          .54944         15.378         84.497
01/02/22  20:11:41          .55083         15.687         84.548
01/02/22  20:11:46          .55222         16.408         84.636
01/02/22  20:11:51          .55361         42.143         84.781
01/02/22  20:11:56          .55500         53.175         84.988
01/02/22  20:12:01          .55639         67.374         85.259
01/02/22  20:12:06          .55778        141.725         85.661
01/02/22  20:12:11          .55917        214.489         86.488
01/02/22  20:12:16          .56056        187.156         87.519
01/02/22  20:12:21          .56194        214.890         88.556
01/02/22  20:12:26          .56333        211.505         89.624
01/02/22  20:12:31          .56472        215.136         90.682
01/02/22  20:12:36          .56611        214.848         91.723
01/02/22  20:12:41          .56750        214.892         92.734
01/02/22  20:12:46          .56889        215.633         93.700
01/02/22  20:12:51          .57028        215.618         94.632
01/02/22  20:12:56          .57167        215.801         95.535
01/02/22  20:13:01          .57306        216.046         96.386
01/02/22  20:13:06          .57444        216.218         97.201
01/02/22  20:13:11          .57583        216.335         97.966
01/02/22  20:13:16          .57722        216.444         98.669
01/02/22  20:13:21          .57861        216.543         99.294
01/02/22  20:13:26          .58000        216.632         99.843
01/02/22  20:13:31          .58139        216.695        100.321
01/02/22  20:13:36          .58278        216.751        100.745
01/02/22  20:13:41          .58417        216.852        101.123
01/02/22  20:13:46          .58556        216.931        101.461
01/02/22  20:13:51          .58694        216.987        101.755
01/02/22  20:13:56          .58833        217.038        102.010
01/02/22  20:14:01          .58972        217.067        102.230
01/02/22  20:14:06          .59111        217.109        102.417
01/02/22  20:14:11          .59250        217.112        102.570
01/02/22  20:14:16          .59389        217.078        102.695
01/02/22  20:14:21          .59528        217.041        102.797
01/02/22  20:14:26          .59667        217.000        102.871
01/02/22  20:14:31          .59806        217.041        102.927
01/02/22  20:14:36          .59944        217.131        102.961
